VARIABLES="Iter"     "DOF"     "C<sub>L</sub>"     "C<sub>D</sub>"     "C<sub>M</sub>"          "Estimate"         "Indicator"
ZONE, t="FUN3D-FE Multiscale Mach, Derivative"
1 11336 0.2838016E+00 0.1063938E+00 0 0 0
2 11967 0.3053944E+00 0.1273426E+00 0 0 0
3 14214 0.3284697E+00 0.1476603E+00 0 0 0
4 15619 0.3395254E+00 0.1556998E+00 0 0 0
5 15579 0.3389485E+00 0.1562225E+00 0 0 0
6 28998 0.3399343E+00 0.1594715E+00 0 0 0
7 29150 0.3398001E+00 0.1589593E+00 0 0 0
8 28013 0.3405782E+00 0.1594238E+00 0 0 0
9 26792 0.3439595E+00 0.1611068E+00 0 0 0
10 27753 0.3430602E+00 0.1608825E+00 0 0 0
11 56385 0.3417412E+00 0.1616024E+00 0 0 0
12 56497 0.3409442E+00 0.1610732E+00 0 0 0
13 54619 0.3419855E+00 0.1617340E+00 0 0 0
14 53821 0.3419147E+00 0.1612275E+00 0 0 0
15 56704 0.3416870E+00 0.1617140E+00 0 0 0
16 107332 0.3439913E+00 0.1627472E+00 0 0 0
17 110834 0.3445135E+00 0.1624999E+00 0 0 0
18 112432 0.3453807E+00 0.1629332E+00 0 0 0
19 107790 0.3455659E+00 0.1632025E+00 0 0 0
20 111152 0.3455899E+00 0.1633189E+00 0 0 0
21 218503 0.3463024E+00 0.1638872E+00 0 0 0
22 217464 0.3463708E+00 0.1643660E+00 0 0 0
23 218436 0.3463442E+00 0.1644597E+00 0 0 0
24 212281 0.3464811E+00 0.1644005E+00 0 0 0
25 217461 0.3468137E+00 0.1646649E+00 0 0 0
26 422913 0.3468416E+00 0.1648531E+00 0 0 0
27 421674 0.3466871E+00 0.1649464E+00 0 0 0
28 427924 0.3467830E+00 0.1651046E+00 0 0 0
29 424841 0.3467961E+00 0.1652984E+00 0 0 0
30 427487 0.3466106E+00 0.1653656E+00 0 0 0
31 833768 0.3468336E+00 0.1654854E+00 0 0 0
32 838422 0.3468220E+00 0.1654504E+00 0 0 0
33 822415 0.3469201E+00 0.1655086E+00 0 0 0
34 825928 0.3467217E+00 0.1654447E+00 0 0 0
35 816996 0.3467705E+00 0.1656197E+00 0 0 0
36 1621600 0.3468015E+00 0.1655886E+00 0 0 0
37 1606235 0.3469352E+00 0.1656352E+00 0 0 0
38 1607497 0.3468510E+00 0.1656316E+00 0 0 0
39 1602601 0.3468715E+00 0.1656690E+00 0 0 0
40 1596157 0.3469135E+00 0.1656609E+00 0 0 0
41 3217844 0.3468851E+00 0.1655894E+00 0 0 0
42 3138521 0.3468932E+00 0.1656440E+00 0 0 0
43 3115795 0.3468414E+00 0.1656425E+00 0 0 0
44 3113562 0.3468182E+00 0.1656247E+00 0 0 0
45 3082275 0.3468497E+00 0.1656103E+00 0 0 0
46 6282784 0.3469188E+00 0.1656520E+00 0 0 0
47 6094690 0.3469336E+00 0.1656385E+00 0 0 0
48 6033243 0.3469127E+00 0.1656118E+00 0 0 0
49 6015293 0.3468726E+00 0.1656432E+00 0 0 0
50 6022384 0.3469096E+00 0.1656430E+00 0 0 0
51 12233318 0.3469637E+00 0.1656565E+00 0 0 0
52 11934281 0.3470140E+00 0.1656450E+00 0 0 0
53 11803712 0.3470980E+00 0.1656681E+00 0 0 0
54 11734374 0.3470477E+00 0.1656621E+00 0 0 0
55 11727753 0.3470600E+00 0.1656983E+00 0 0 0
