VARIABLES="Iter"     "DOF"     "C<sub>L</sub>"     "C<sub>D</sub>"     "C<sub>M</sub>"          "Estimate"         "Indicator"
ZONE T="FUN3D-FE Multiscale Mach"
0 11336 0.2912638930923316 0.20605567933342847 0 0 0
1 11967 0.32403151518891077 0.16952880732260123 0 0 0
2 14214 0.3474158309066634 0.16777355465519111 0 0 0
3 15619 0.3553670589951473 0.1683465622317528 0 0 0
4 15579 0.35326472001688736 0.16702220733431222 0 0 0
5 28998 0.3493011592629516 0.16555597398181185 0 0 0
6 29150 0.34770120782144237 0.1647601256450947 0 0 0
7 28013 0.34700423628860916 0.1644317792194944 0 0 0
8 26792 0.34899388262801734 0.1650308630987936 0 0 0
9 27753 0.34782675214537717 0.16431329936245276 0 0 0
10 56385 0.34599221390341056 0.16424001510728214 0 0 0
11 56497 0.3443860862189468 0.16394201073796194 0 0 0
12 54619 0.3448441410083196 0.1640483427971391 0 0 0
13 53821 0.34507625761893174 0.16381386431025924 0 0 0
14 56704 0.34431368632541454 0.16396741555063118 0 0 0
15 107332 0.346258038303749 0.16440786701788387 0 0 0
16 110834 0.34658238722075957 0.16438376763774995 0 0 0
17 112432 0.34699484984422396 0.1646119913930649 0 0 0
18 107790 0.3473270253696778 0.16485794987526475 0 0 0
19 111152 0.34721055756009195 0.16470318733128858 0 0 0
20 218503 0.34794961098054605 0.1650323533797773 0 0 0
21 217464 0.34794319968491033 0.1651548039779673 0 0 0
22 218436 0.348093675977289 0.16522553588265865 0 0 0
23 212281 0.348014081175828 0.16525607824996696 0 0 0
24 217461 0.34814651140297576 0.16531540723330468 0 0 0
25 422913 0.3479890098505287 0.16540214891180555 0 0 0
26 421674 0.3481169034577851 0.16551047174432792 0 0 0
27 427924 0.3480522450259401 0.16558175808986114 0 0 0
28 424841 0.34801751128898106 0.16566248334497094 0 0 0
29 427487 0.34792590369013804 0.16565162374685424 0 0 0
30 833768 0.3478446099298681 0.16568767667119552 0 0 0
31 838422 0.3478523595250422 0.16565790476248407 0 0 0
32 822415 0.3477807305728038 0.165656314121104 0 0 0
33 825928 0.3476848753162549 0.16563891493196278 0 0 0
34 816996 0.34767537191467796 0.16565967830791758 0 0 0
35 1621600 0.3475637146616501 0.16563568932932796 0 0 0
36 1606235 0.34753405217444483 0.16564577400950173 0 0 0
37 1607497 0.3475372653530865 0.16564697963051536 0 0 0
38 1602601 0.34746038005361374 0.165644231100975 0 0 0
39 1596157 0.3474940472914324 0.1656464262476773 0 0 0
40 3217844 0.3474094928939076 0.1656344806658806 0 0 0
41 3138521 0.3473498774168967 0.16562182700529188 0 0 0
42 3115795 0.34731868867154864 0.1656202690190354 0 0 0
43 3113562 0.34732343836730023 0.1656155204982086 0 0 0
44 3082275 0.3473327750911099 0.16560406765253916 0 0 0
45 6282784 0.34728339920432477 0.16561814993988333 0 0 0
46 6094690 0.3472947755107154 0.16562478129277178 0 0 0
47 6033243 0.34726496639415605 0.1656131695162367 0 0 0
48 6015293 0.347248933081014 0.16561630735274363 0 0 0
